,0,1,Country
0,migrants celebrate and dance after being rescued,"male migrants from syria, nigeria, bangladesh, pakistan and egypt danced after being rescued off the coast of libya",Syria
1,syria says damascus and aleppo airports hit by israeli missiles,israel has previously hit targets in war-torn syria linked to iranian arms supplies,Syria
2,talks after us fighter jet shoots down armed turkish drone in syria,ankara vows to continue targeting kurdish groups but the us calls for more coordination between the nato allies,Syria
3,"the us will likely 'go to war' in israel with air and naval power if syria or iran become actively involved, retired 4-star general says","the us is watching foreign forces like syria, hezbollah, and iran, and will likely strike if they intervene, ret gen barry mccaffrey said",Syria
4,"a us f-16 fighter jet shot down a turkish drone, eliminating another nato ally's aircraft over syria","the us aircraft downed the drone because it was considered a threat to us troops in northeastern syria, the wall street journal reported",Syria
5,us navy destroyer shoots down rebel missiles as iran-backed militants stir up trouble and american forces come under fire,"several drones attacked us and coalition forces in iraq and syria this week, further raising fears that the ongoing israel-hamas war could expand",Syria
6,"turkey's drones are a big hit in ukraine, but they're also showing how they can pose a threat to the us","the bayraktar tb2 has become a symbol of resistance for ukrainians, but for other us partners it's not a welcome presence overhead",Syria
7,"50 years on, photos show the 19-day arab-israeli war that changed the course of history","soon after israelis commemorated the 50th anniversary of the deadly conflict, israel found itself at war once again",Syria
8,the lives upended by colonial rule in the middle east,british and french control of the region a century ago came at a cost which is felt until this day,Syria
9,giving birth in a war zone: the struggles of many syrian mothers,"bombing, displacement and devastating earthquakes have created a hostile environment for pregnant women and mothers in northwestern syria",Syria
10,us fighter jet shoots down armed turkish drone over syria,a us f-16 fighter jet shot down a turkish drone armed with air-to-surface missiles that was flying extensively in the area of us ground troops in northeast syria,Syria
11,us military captures key islamic state militant during helicopter raid in syria,the us military says it has captured an operator for the islamic state extremist group during a helicopter raid in northern syria,Syria
12,"canada, the netherlands take syria to top un court over torture claims","the netherlands and canada are taking syria's government to the united nations highest court, accusing damascus of massive human rights violations against its own people",Syria
13,how did israeli intelligence fail to stop major attack from gaza?,israeli officials tell bbc an investigation into gaza's surprise attack will go on for years,Syria
14,"drones attack a us military base in southern syria and there are minor injuries, us officials say",two us officials tell the associated press that a military base in southern syria where us troops have maintained a presence to train forces as part of a broad campaign against the islamic state group was attacked by drones on thursday,Syria
15,"american? don't go to these countries: rissia, belarus, iran, syrua, venezuela, afghanistan, somalia and more!","the us state department has published new guidance, and a handy map, of the counties americans should not go to getting you home again might be expensive iran has been assigned the highest warning level due to the risk of kidnapping and the possibilit…",Syria
16,how us troops could get pulled into a wider conflict in the middle east,"if iran and hezbollah attack israel as it battles hamas, the us could launch military strikes to protect its ally",Syria
17,"putin meets with wagner commander who was once arrested while 'dangerously intoxicated,' says he's now leading combat missions in ukraine","at the meeting, putin referred to troshev leading ""various combat missions,"" including in ukraine",Syria
18,"israel invading gaza could escalate the war into a larger regional conflict, experts say","israel's invasion of gaza could escalate into a regional conflict, with iran-backed militias in nearby countries joining, military analysts said",Syria
19,how the israel-hamas war could pull in arab nations,"amid war, tensions are rising between israel and lebanese militant group hezbollah, while egypt is under pressure to accept fleeing gazans",Syria
20,"israelis, united in shock, rally behind war to punish hamas",the country is adjusting to a new reality as the conflict enters uncharted territory,Syria
21,president joe biden's foreign policy upended by hamas attack,fears of a wider conflict and a possible distraction from the war in ukraine could influence the white house,Syria
