,0,1
0,gulnara karimova: swiss say uzbekistan ex-leader's daughter ran huge crime network,switzerland seizes $857m of assets as the daughter of uzbekistan's ex-leader is charged with fraud
1,ai chatbots can guess your personal information from what you type,the ai models behind chatbots like chatgpt can accurately guess a users personal information from innocuous chats researchers say the troubling ability could be used by scammers or to target ads
2,abandoned farms are a hidden resource for restoring biodiversity,a billion acres of old farmland—an area half the size of australia—has fallen out of use ecologists say the lands and degraded forests are neglected resources for rewilding and for capturing carbon
3,"uk, switzerland, and sweden set for biggest economic boosts from ai in europe","the uk, switzerland, and sweden are poised to cash in from the ai gold rush, but most of europe will be a poor nephew to uncle sam so say the expert analysts at capital economics, a financial research firm based in london in a new study, the company assesse…"
4,former belarus 'hit squad member' found not guilty,yury garavsky is acquitted of involvement in the forced disappearance of three opposition figures in 1999
5,richard stallman says he has cancer,"slack_justyb writes: richard stallman revealed his diagnosis of lymphoma at the gnu hacker's meeting in biel, switzerland yesterday he did not share much about his health condition but did indicate that it is ""manageable"" and that he expects to be around for…"
6,femtosecond laser clones itself in glass,"when researchers at the galatea laboratory in switzerland set out to create a femtosecond in glass they werent certain it was going to work to be precise, their goal was to create a femtose…"
7,man learns uncomfortable lesson after undercooked shiitake meal,the new england journal of medicine shares the tale of a 72-year-old man in switzerland who prepared a delicious meal with shiitake mushrooms little did he know that consuming these mushrooms would result in an unexpected ailment two days after eating th…
8,"i was happy, sad, lost and lonely without a smartphone at the same time","i haven't posted on my blog for a long time, partly because i have been super busy with my personal and work life i moved to switzerland to work as a health informatics specialist for the swiss tropical and public health institute, and moving to switzerland …"
9,ps plus premium subscribers can soon stream ps5 games on their console,"hot on the heels of sony granting playstation plus premium members access to a library of movies to stream at no extra cost , the company will start offering them another handy feature in the coming weeks you'll soon be able to play a selection of playstati…"
10,switzerland has lost 10% of its glaciers in the last two years,"glaciers across the entire country were affected, with those in southern and eastern switzerland melting almost as much this year as in the record year of 2022"
11,visit automata around the world,"if you're a fan of automata, you'll want to check out atlas obscura's list of automata to visit around the world although self-operating machines were a thing far earlier in history, automata became a beloved type of entertainment during the industrial revol…"
12,i didn't see the appeal of an online bank until i started using one for investing — and now i love it,"i'm not giving up my brick-and-mortar bank, but keeping my long-term investments in a separate online bank is good for my mental health"
13,bavaria election: toxic campaign heralds big vote for germany's populists,right-wing parties look set to make big gains in state elections in germany's wealthy south
14,creal shows breakthrough in light field ar glasses that focus your eyes better,"creal, a swiss startup building augmented reality glasses, has announced a breakthrough in ""light field"" tech that can improve ar vision"
15,kamila valieva doping scandal that rocked the beijing olympics may finally be settled,the court of arbitration for sport begins a hearing tuesday into the doping scandal of russian figure skater kamila valieva us skaters still haven't received team medals from the 2022 winter games
